endTime,artistName,trackName,msPlayed
2019-11-03 16:53:00-05:00,Generationals,TenTwentyTen,1194
2019-11-03 16:53:00-05:00,The Rolling Stones,Beast Of Burden - Remastered,137706
2019-11-03 17:35:00-05:00,Sure Sure,This Must Be The Place,19222
2019-11-03 17:35:00-05:00,The Rolling Stones,Gimme Shelter,270773
2019-11-03 17:37:00-05:00,Lawrence,Casualty,143893
2019-11-03 17:41:00-05:00,DREAMERS,Die Happy,186902
2019-11-03 17:44:00-05:00,grandson,Stick Up,222560
2019-11-03 17:48:00-05:00,half•alive,arrow,222706
2019-11-03 17:51:00-05:00,The Growlers,Night Ride,207302
2019-11-03 17:54:00-05:00,Allan Rayman,Stitch,165826
2019-11-03 17:56:00-05:00,Dead Favours,On Your Own,112777
2019-11-03 17:58:00-05:00,Mild High Club,Note to Self,140000
2019-11-03 18:03:00-05:00,Tasha,Kind of Love,278559
2019-11-03 18:04:00-05:00,BONES UK,I'm Afraid Of Americans,38958
2019-11-03 18:06:00-05:00,Magic City Hippies,Body Like a Weapon,163285
2019-11-03 18:10:00-05:00,Dan Auerbach,Malibu Man,216106
2019-11-03 18:14:00-05:00,Chastity Belt,Different Now,228800
2019-11-03 18:17:00-05:00,APRE,All Yours,173586
2019-11-03 18:21:00-05:00,The Unlikely Candidates,Novocaine,245240
2019-11-03 18:25:00-05:00,The Relatives,Things Are Changing,231853
2019-11-03 18:29:00-05:00,Ratatat,Loud Pipes,226533
2019-11-03 18:31:00-05:00,The Dip,She Gave Me the Keys,145160
2019-11-03 18:34:00-05:00,Big Wild,Crickets,162909
2019-11-03 18:37:00-05:00,Adam Jensen,I Can Hold a Grudge Like Nobody's Business,225804
2019-11-03 18:41:00-05:00,Hotel Mira,Jungle,197584
2019-11-03 18:44:00-05:00,The Dip,Atlas,204867
2019-11-04 08:20:00-05:00,Local Natives,Dark Days,180413
2019-11-04 08:24:00-05:00,Broken Bells,Shelter,239010
2019-11-04 08:29:00-05:00,Clean Bandit,Dust Clears (feat. Noonie Bao),78925
2019-11-04 08:32:00-05:00,cleopatrick,sanjake,182885
2019-11-04 08:45:00-05:00,Blame Candy,Pathetic,124305
2019-11-04 08:45:00-05:00,Lotus ,Sodium Vapor,3668
2019-11-04 08:54:00-05:00,Lotus ,The Opus (Live),557328
2019-11-04 08:59:00-05:00,Lotus ,Sodium Vapor,323185
2019-11-04 09:05:00-05:00,Papadosio,Pool of Stars,321752
2019-11-04 09:11:00-05:00,GRiZ,A Fine Way to Die,400982
2019-11-04 09:18:00-05:00,Lespecial,Jackwise,366986
2019-11-04 09:20:00-05:00,Keller Williams,Freshies,163053
2019-11-04 09:25:00-05:00,Pigeons Playing Ping Pong,F.U.,281000
2019-11-04 09:30:00-05:00,Manic Focus,On the Horizon,279250
2019-11-04 09:35:00-05:00,Dispatch,Midnight Lorry,339360
2019-11-04 09:41:00-05:00,Cbdb,Slow Foxes,321480
2019-11-04 09:47:00-05:00,Twiddle,Every Soul,353036
2019-11-04 09:53:00-05:00,Pigeons Playing Ping Pong,Kiwi,396912
2019-11-04 14:27:00-05:00,Pigeons Playing Ping Pong,Kiwi,510880
2019-11-04 15:41:00-05:00,Twiddle,Jamflowman,478360
2019-11-04 15:43:00-05:00,The Werks,Magic,123616
2019-11-04 15:43:00-05:00,Umphrey's McGee,You & You Alone,5909
2019-11-04 15:46:00-05:00,The Rolling Stones,Beast Of Burden - Remastered,203797
2019-11-04 15:49:00-05:00,Generationals,TenTwentyTen,181802
2019-11-04 15:50:00-05:00,Sturgill Simpson,Sing Along,1002
2019-11-04 15:50:00-05:00,Sure Sure,This Must Be The Place,2111
2019-11-04 15:50:00-05:00,Pigeons Playing Ping Pong,F.U.,14186
2019-11-04 15:50:00-05:00,The Rolling Stones,Gimme Shelter,7445
2019-11-04 15:55:00-05:00,Pigeons Playing Ping Pong,Melting Lights,304506
2019-11-04 16:00:00-05:00,Pigeons Playing Ping Pong,Julia,313000
2019-11-04 16:04:00-05:00,Pigeons Playing Ping Pong,Schwanthem,198493
2019-11-04 16:09:00-05:00,Pigeons Playing Ping Pong,Zydeko,324195
2019-11-04 16:09:00-05:00,Pigeons Playing Ping Pong,Melting Lights,12300
2019-11-04 16:58:00-05:00,Pigeons Playing Ping Pong,Zydeko,74642
2019-11-04 17:20:00-05:00,Pigeons Playing Ping Pong,Time to Ride,115374
2019-11-04 17:20:00-05:00,Pigeons Playing Ping Pong,Sunny Day,1173
2019-11-04 17:31:00-05:00,Pigeons Playing Ping Pong,Moonwalk,335000
2019-11-04 19:49:00-05:00,Pigeons Playing Ping Pong,Horizon,71966
2019-11-04 19:57:00-05:00,Pigeons Playing Ping Pong,Kiwi,485568
2019-11-05 07:17:00-05:00,Yoke Lore,Chin Up,265213
2019-11-05 07:20:00-05:00,Marty O'Reilly & the Old Soul Orchestra,Cinnamon Tree,142414
2019-11-05 08:01:00-05:00,Pigeons Playing Ping Pong,Julia,313000
2019-11-05 08:04:00-05:00,Foreign Talks,Rip It up Slow,219493
2019-11-05 08:11:00-05:00,Medicine Man Revival,Breakthrough #Dtownhump,221755
2019-11-05 08:16:00-05:00,Twiddle,Amydst the Myst,270920
2019-11-05 08:20:00-05:00,Galactic,Going Straight Crazy (feat. Princess Shaw),207989
2019-11-05 08:26:00-05:00,Ripe,Pretty Dirty (In the Fading Light),343404
2019-11-05 08:29:00-05:00,Dustbowl Revival,Honey I Love You (feat. Keb' Mo'),213026
2019-11-05 08:33:00-05:00,Vulfpeck,Animal Spirits,190801
2019-11-05 08:36:00-05:00,Cory Wong,Cosmic Sans,217146
2019-11-05 08:40:00-05:00,Middle Brother,Million Dollar Bill,243320
2019-11-05 08:44:00-05:00,The Wood Brothers,Luckiest Man,233666
2019-11-05 08:48:00-05:00,Pigeons Playing Ping Pong,Live Life,254506
2019-11-05 08:54:00-05:00,Talking Heads,"This Must Be the Place (Naive Melody) - Live at the Pantages Theatre, December 1983",326493
2019-11-05 09:15:00-05:00,Joe Hertler & The Rainbow Seekers,No Money (Jetski),257040
2019-11-05 09:23:00-05:00,Sweet Plot,The Gatsby Express,498453
2019-11-05 09:27:00-05:00,Dustbowl Revival,Gonna Fix You,216200
2019-11-05 09:31:00-05:00,Twiddle,Syncopated Healing,278291
2019-11-05 09:37:00-05:00,Ripe,Goon Squad,316742
2019-11-05 09:45:00-05:00,Pigeons Playing Ping Pong,Kiwi,509493
2019-11-05 09:48:00-05:00,J. Roddy Walston & The Business,You Know Me Better,206186
2019-11-05 09:52:00-05:00,Lettuce,Move On Up,213480
2019-11-05 11:29:00-05:00,Kung Fu,Hollywood Kisses,439158
2019-11-05 11:30:00-05:00,The Osborne Brothers,Rocky Top - Single Version,2735
2019-11-05 11:38:00-05:00,Papadosio,Garden,484719
2019-11-05 11:42:00-05:00,The Wood Brothers,I Got Loaded,243440
2019-11-05 11:49:00-05:00,The Brothers Comatose,Sugar Please,241990
2019-11-05 11:55:00-05:00,Leland Blue,Sofia...,312000
2019-11-05 11:59:00-05:00,Pigeons Playing Ping Pong,F.U.,281000
2019-11-05 12:05:00-05:00,Shakey Graves,Kids These Days,222512
2019-11-05 12:13:00-05:00,Twiddle,Jamflowman,478360
2019-11-05 12:14:00-05:00,Cbdb,Slow Foxes,53116
2019-11-05 14:05:00-05:00,Pigeons Playing Ping Pong,Julia,313000
2019-11-05 14:09:00-05:00,Pigeons Playing Ping Pong,Horizon,222346
2019-11-05 14:12:00-05:00,Magic City Hippies,Limestone,209164
2019-11-05 14:17:00-05:00,Pretty Lights,Rainbows & Waterfalls,254680
2019-11-05 14:19:00-05:00,Mo Lowda & the Humble,Where the Whitetails Go,149924
2019-11-05 14:29:00-05:00,The Allman Brothers Band,Back Where It All Begins,550480
2019-11-05 14:34:00-05:00,Busty and the Bass,The Real,291507
2019-11-05 14:38:00-05:00,Greensky Bluegrass,Windshield,224853
2019-11-05 14:42:00-05:00,The Movement,Habit - Original Mix,251088
2019-11-05 14:48:00-05:00,Dispatch,Midnight Lorry,339360
2019-11-05 14:54:00-05:00,Blues Traveler,Hook,1980
2019-11-05 14:54:00-05:00,Pigeons Playing Ping Pong,Somethin' For Ya,330253
2019-11-05 14:54:00-05:00,GRiZ,Driftin',4240
2019-11-05 14:58:00-05:00,Pimps of Joytime,Mud featuring Ivan Neville,260173
2019-11-05 15:02:00-05:00,Lettuce,Mt. Crushmore,200906
2019-11-05 15:07:00-05:00,Ripe,Goon Squad,316742
2019-11-05 15:12:00-05:00,Ghostland Observatory,Sometimes,254680
2019-11-05 15:13:00-05:00,St. Paul & The Broken Bones,Apollo - Radio Edit,72601
2019-11-05 17:00:00-05:00,Pigeons Playing Ping Pong,Julia,313000
2019-11-05 17:05:00-05:00,Pigeons Playing Ping Pong,Melting Lights,304506
2019-11-05 17:10:00-05:00,Tauk,Friction,300876
2019-11-05 17:14:00-05:00,moe.,Okayalright,252026
2019-11-05 17:21:00-05:00,Pretty Lights,Only Yesterday,375426
2019-11-05 17:27:00-05:00,SunSquabi,Just a Little,370666
2019-11-05 17:31:00-05:00,The Revivalists,Stand Up,231053
2019-11-05 17:41:00-05:00,Pigeons Playing Ping Pong,Horizon,575120
2019-11-05 17:45:00-05:00,GRiZ,It Gets Better,243096
2019-11-05 17:49:00-05:00,The Wood Brothers,Happiness Jones,246893
2019-11-05 17:58:00-05:00,The Allman Brothers Band,Back Where It All Begins,550480
2019-11-05 18:02:00-05:00,Pretty Lights,Rainbows & Waterfalls,254680
2019-11-05 18:11:00-05:00,Papadosio,Cue,517253
2019-11-06 06:34:00-05:00,Pigeons Playing Ping Pong,Julia,189312
2019-11-06 06:37:00-05:00,Magic City Hippies,Limestone,209164
2019-11-06 06:41:00-05:00,Magic Bronson,Nervous,173152
